state,station,MRI (yrs),R-squared,min wind threshold,coeff a,coeff b,coeff c,coeff d,min wind threshold,coeff a,coeff b,coeff c,coeff d
AR, KLIT,  50, 0.994,   0, -3.5207e-07,  2.4495e-05, -3.2175e-03,  2.3856e-01,    ,            ,            ,            ,            
AR, KLIT, 100, 0.995,   0, -3.1698e-07,  2.5924e-05, -3.4274e-03,  2.5733e-01,    ,            ,            ,            ,            
AR, KLIT, 500, 0.996,   0, -2.5287e-07,  2.7920e-05, -3.8536e-03,  3.0058e-01,    ,            ,            ,            ,            
AR, KPBF,   1, 0.995,   0,  0.0000e+00,  0.0000e+00,  0.0000e+00,  1.0594e-01,   3, -1.8673e-07, -3.8232e-05,  2.1547e-04,  1.0564e-01
AR, KPBF,   5, 0.997,   0, -4.2751e-08, -3.2022e-05, -9.0170e-05,  1.4194e-01,    ,            ,            ,            ,            
AR, KPBF,  10, 0.997,   0, -1.4499e-08, -3.0146e-05, -1.7688e-04,  1.5733e-01,    ,            ,            ,            ,            
AR, KPBF,  25, 0.997,   0,  6.9653e-09, -2.7905e-05, -2.7177e-04,  1.7757e-01,    ,            ,            ,            ,            
AR, KPBF,  50, 0.998,   0,  1.6149e-08, -2.6375e-05, -3.3245e-04,  1.9282e-01,    ,            ,            ,            ,            
AR, KPBF, 100, 0.998,   0,  2.1774e-08, -2.4984e-05, -3.8553e-04,  2.0802e-01,    ,            ,            ,            ,            
AR, KPBF, 500, 0.998,   0,  2.7533e-08, -2.2244e-05, -4.8606e-04,  2.4321e-01,    ,            ,            ,            ,            
AR, KTXK,   1, 0.997,   0, -1.3337e-06,  1.9806e-05, -4.7104e-04,  1.0909e-01,    ,            ,            ,            ,            
AR, KTXK,   5, 0.998,   0, -8.5606e-07,  1.6439e-05, -5.3554e-04,  1.4553e-01,    ,            ,            ,            ,            
AR, KTXK,  10, 0.998,   0, -7.5958e-07,  1.7411e-05, -5.5833e-04,  1.6106e-01,    ,            ,            ,            ,            
AR, KTXK,  25, 0.998,   0, -6.7811e-07,  1.9888e-05, -5.8850e-04,  1.8152e-01,    ,            ,            ,            ,            
AR, KTXK,  50, 0.998,   0, -6.3803e-07,  2.2346e-05, -6.1144e-04,  1.9696e-01,    ,            ,            ,            ,            
AR, KTXK, 100, 0.998,   0, -6.1000e-07,  2.5158e-05, -6.3489e-04,  2.1239e-01,    ,            ,            ,            ,            
AR, KTXK, 500, 0.998,   0, -5.7837e-07,  3.3192e-05, -7.0497e-04,  2.4822e-01,    ,            ,            ,            ,            
FL, KBKV,   1, 0.997,   0, -1.5484e-06,  3.3622e-05, -7.3232e-04,  1.3205e-01,    ,            ,            ,            ,            
FL, KBKV,   5, 0.998,   0, -6.1289e-07, -2.9130e-06, -3.6336e-04,  1.7357e-01,    ,            ,            ,            ,            
FL, KBKV,  10, 0.998,   0, -4.3068e-07, -1.0305e-05, -2.7117e-04,  1.9140e-01,    ,            ,            ,            ,            
FL, KBKV,  25, 0.998,   0, -2.7707e-07, -1.6472e-05, -1.8267e-04,  2.1497e-01,    ,            ,            ,            ,            
FL, KBKV,  50, 0.998,   0, -2.0059e-07, -1.9456e-05, -1.3159e-04,  2.3281e-01,    ,            ,            ,            ,            
FL, KBKV, 100, 0.998,   0, -1.4539e-07, -2.1538e-05, -8.8834e-05,  2.5065e-01,    ,            ,            ,            ,            
FL, KBKV, 500, 0.998,   0, -6.5315e-08, -2.4384e-05, -6.1876e-06,  2.9204e-01,    ,            ,            ,            ,            
FL, KCEW,   1, 0.988,   0, -1.8416e-06,  6.7558e-05, -2.2133e-03,  1.3938e-01,    ,            ,            ,            ,            
FL, KCEW,   5, 0.991,   0, -1.2005e-06,  6.2331e-05, -2.7077e-03,  1.8484e-01,    ,            ,            ,            ,            
FL, KCEW,  10, 0.992,   0, -1.0420e-06,  6.0808e-05, -2.8544e-03,  2.0398e-01,    ,            ,            ,            ,            
FL, KCEW,  25, 0.993,   0, -8.8446e-07,  5.9045e-05, -3.0116e-03,  2.2903e-01,    ,            ,            ,            ,            
FL, KCEW,  50, 0.993,   0, -7.9155e-07,  5.7821e-05, -3.1100e-03,  2.4783e-01,    ,            ,            ,            ,            
FL, KCEW, 100, 0.993,   0, -7.0364e-07,  5.5542e-05, -3.1717e-03,  2.6645e-01,    ,            ,            ,            ,            
FL, KCEW, 500, 0.992,   0, -5.0571e-07,  4.5817e-05, -3.1730e-03,  3.0899e-01,    ,            ,            ,            ,            
FL, KCRG,   1, 0.996,   0, -1.5236e-06,  3.1635e-05, -9.3102e-04,  1.2156e-01,    ,            ,            ,            ,            
FL, KCRG,   5, 0.997,   0, -1.0008e-06,  2.7630e-05, -1.0899e-03,  1.6120e-01,    ,            ,            ,            ,            
FL, KCRG,  10, 0.997,   0, -8.7991e-07,  2.7539e-05, -1.1331e-03,  1.7801e-01,    ,            ,            ,            ,            
FL, KCRG,  25, 0.997,   0, -7.6590e-07,  2.8106e-05, -1.1749e-03,  2.0009e-01,    ,            ,            ,            ,            
FL, KCRG,  50, 0.996,   0, -7.0216e-07,  2.8853e-05, -1.1976e-03,  2.1672e-01,    ,            ,            ,            ,            
FL, KCRG, 100, 0.996,   0, -6.5160e-07,  2.9779e-05, -1.2142e-03,  2.3329e-01,    ,            ,            ,            ,            
FL, KCRG, 500, 0.995,   0, -5.6829e-07,  3.2447e-05, -1.2380e-03,  2.7162e-01,    ,            ,            ,            ,            
FL, KDAB,   1, 0.994,   0, -6.5972e-07, -3.5875e-05, -2.5785e-04,  1.2773e-01,    ,            ,            ,            ,            
FL, KDAB,   5, 0.997,   0, -2.2066e-07, -3.3697e-05, -6.9193e-04,  1.7092e-01,    ,            ,            ,            ,            
FL, KDAB,  10, 0.997,   0, -1.2987e-07, -3.3103e-05, -8.0670e-04,  1.8914e-01,    ,            ,            ,            ,            
FL, KDAB,  25, 0.998,   0, -5.6845e-08, -3.1891e-05, -9.3522e-04,  2.1308e-01,    ,            ,            ,            ,            
FL, KDAB,  50, 0.998,   0, -2.3257e-08, -3.0769e-05, -1.0210e-03,  2.3111e-01,    ,            ,            ,            ,            
FL, KDAB, 100, 0.998,   0, -1.0202e-09, -2.9573e-05, -1.0993e-03,  2.4910e-01,    ,            ,            ,            ,            
FL, KDAB, 500, 0.999,   0,  2.6220e-08, -2.6821e-05, -1.2585e-03,  2.9070e-01,    ,            ,            ,            ,            
FL, KEYW,   1, 0.987,   0, -5.7497e-07, -2.8679e-05, -4.9091e-04,  1.2089e-01,    ,            ,            ,            ,            
FL, KEYW,   5, 0.989,   0, -4.7696e-07, -2.9495e-06, -1.4524e-03,  1.6332e-01,    ,            ,            ,            ,            
FL, KEYW,  10, 0.990,   0, -4.4388e-07,  3.4251e-06, -1.7411e-03,  1.8113e-01,    ,            ,            ,            ,            
FL, KEYW,  25, 0.992,   0, -4.0326e-07,  9.3727e-06, -2.0508e-03,  2.0438e-01,    ,            ,            ,            ,            
FL, KEYW,  50, 0.992,   0, -3.7459e-07,  1.2562e-05, -2.2450e-03,  2.2180e-01,    ,            ,            ,            ,            
FL, KEYW, 100, 0.993,   0, -3.4758e-07,  1.4937e-05, -2.4133e-03,  2.3910e-01,    ,            ,            ,            ,            
FL, KEYW, 500, 0.994,   0, -2.9368e-07,  1.8561e-05, -2.7373e-03,  2.7895e-01,    ,            ,            ,            ,            
FL, KFLL,   1, 0.990,   0, -1.1424e-06,  5.6137e-06, -7.4072e-04,  1.3099e-01,    ,            ,            ,            ,            
FL, KFLL,   5, 0.991,   0, -6.2694e-07,  3.1102e-06, -1.1889e-03,  1.7384e-01,    ,            ,            ,            ,            
FL, KFLL,  10, 0.991,   0, -5.1632e-07,  3.5028e-06, -1.3468e-03,  1.9203e-01,    ,            ,            ,            ,            
FL, KFLL,  25, 0.992,   0, -4.0083e-07,  3.0749e-06, -1.5040e-03,  2.1581e-01,    ,            ,            ,            ,            
FL, KFLL,  50, 0.992,   0, -3.2342e-07,  1.6302e-06, -1.5813e-03,  2.3360e-01,    ,            ,            ,            ,            
FL, KFLL, 100, 0.993,   0, -2.4880e-07, -9.5612e-07, -1.6217e-03,  2.5122e-01,    ,            ,            ,            ,            
FL, KFLL, 500, 0.993,   0, -7.5008e-08, -1.1606e-05, -1.5737e-03,  2.9146e-01,    ,            ,            ,            ,            
FL, KFMY,   1, 0.994,   0, -4.6435e-07, -2.6792e-05, -1.1652e-03,  1.4446e-01,    ,            ,            ,            ,            
